Sentence;P;P_DESC;A0;A0-DESC;A1;A1_DESC;A2;A2_DESC
The system places a story in the editor’s "to-do" workflow queue.;places;location;The system;putter;a story;thing put;in the editor’s "to-do" workflow queue.;where put
The system places a story in the editor’s "to-do" workflow queue.;";;the editor’s;;to-do" workflow queue;;;
If more than one editor is defined, a round-robin approach is used to attempt to balance load.;defined;assign a label or attribute;;;more than one editor;thing defined;;
If more than one editor is defined, a round-robin approach is used to attempt to balance load.;used;Take advantage of, utilise;;;a round-robin approach;thing used;to attempt to balance load;purpose
If more than one editor is defined, a round-robin approach is used to attempt to balance load.;attempt;try;a round-robin approach;Agent/Entity Trying;to balance load;thing tried;;
If more than one editor is defined, a round-robin approach is used to attempt to balance load.;balance;establish a balance;a round-robin approach;balancer, agent;load;thing balanced;;
Editors may be marked as unavailable (if, for instance, they are on vacation or sick or out of the office), in which case they will not be included in the round-robin process.;marked;make a mark;;;Editors;mark;;
Editors may be marked as unavailable (if, for instance, they are on vacation or sick or out of the office), in which case they will not be included in the round-robin process.;included;include;;;;;in the round-robin process;group
The editor views the story.;views;assign an attribute to;The editor;assigner;the story;thing labelled;;
The editor categorizes the story by selecting from system-provided categories.;categorizes;assign into a category;The editor;assigner;the story;thing assigned;;
The editor categorizes the story by selecting from system-provided categories.;selecting;to make a choice, to pick out;The editor;selector;;;;
There may be more than one category assigned to the story.;assigned;give, associate with;;;more than one category;thing assigned;to the story;assigned to
At least one category must be assigned to the story.;assigned;give, associate with;;;At least one category;thing assigned;to the story;assigned to
The editor then marks the story as approved.;marks;;The editor;;the story;;;
The editor then marks the story as approved.;approved;assent to;;;;;;
The system includes the story in the list of available content for paging initiation.;includes;include;;;the story in the list of available content for paging initiation;theme, thing being included in some group;The system;group
The system triggers initiation of paging messages.;triggers;begin;The system;Agent;initiation of paging messages;Theme(-Creation);;
The editor views the story.;views;assign an attribute to;The editor;assigner;the story;thing labelled;;
The editor marks the story as rejected and describes the reason for rejection.;marks;;The editor;;the story;;;
The editor marks the story as rejected and describes the reason for rejection.;rejected;reject, decline, turn down;;;;;;
The editor marks the story as rejected and describes the reason for rejection.;describes;assign a label or attribute;The editor;describer;the reason for rejection;thing described;;
The system notifies the originator of the content that the story has been rejected and includes the reason provided by the editor.;notifies;tell, alert;The system;notifier, teller;the originator of the content that the story has been rejected and includes the reason provided by the editor;entity notified, told;;
The system notifies the originator of the content that the story has been rejected and includes the reason provided by the editor.;rejected;reject, decline, turn down;;;the story;thing rejected;;
The system notifies the originator of the content that the story has been rejected and includes the reason provided by the editor.;includes;include;;;the reason provided by the editor;theme, thing being included in some group;the story;group
The system notifies the originator of the content that the story has been rejected and includes the reason provided by the editor.;provided;cf give;by the editor;provider;the reason;thing provided;;
The system deletes the story.;deletes;remove;The system;entity removing;the story;thing being removed;;
Editor selects "Modify Story".;selects;to make a choice, to pick out;Editor;selector;"Modify Story";entity selected;;
Editor selects specific title.;selects;to make a choice, to pick out;Editor;selector;specific title;entity selected;;
Editor updates characteristics, either deleting some categories, adding other categories, or both.;deleting;;either;;some categories;;;
Editor updates characteristics, either deleting some categories, adding other categories, or both.;adding;mathematics;;;other categories;thing being added;;
Editor selects "Save".;selects;to make a choice, to pick out;Editor;selector;"Save".;entity selected;;
System re-posts the story to the list of available content for paging initiation.;re-posts;;System;;the story;;to the list of available content for paging initiation;
The system triggers initiation of paging messages.;triggers;begin;The system;Agent;initiation of paging messages;Theme(-Creation);;
The editor views the advertising content.;views;assign an attribute to;The editor;assigner;the advertising content;thing labelled;;
The editor marks it approved.;marks;;The editor;;it approved.;;;
The editor marks it approved.;approved;assent to;it;approver;;;;
The system includes the advertising content in the list of available advertising for display.;includes;include;;;the advertising content in the list of available advertising for display;theme, thing being included in some group;The system;group
The system creates a preliminary billing record, using information stored about the advertiser (billing rate indicator, advertiser name and billing address), content identification, date, and total due.;creates;create;The system;creator;a preliminary billing record;thing created;;
The system creates a preliminary billing record, using information stored about the advertiser (billing rate indicator, advertiser name and billing address), content identification, date, and total due.;using;Take advantage of, utilise;The system;User;information;thing used;;
The system creates a preliminary billing record, using information stored about the advertiser (billing rate indicator, advertiser name and billing address), content identification, date, and total due.;stored;store;;;information;commodity;;
The system marks the preliminary billing record as approved.;marks;signify;The system;signifier;the preliminary billing record as approved;signified;;
The system marks the preliminary billing record as approved.;approved;assent to;;;;;;
The editor views the advertising content.;views;assign an attribute to;The editor;assigner;the advertising content;thing labelled;;
The editor marks it rejected and provides a reason for rejection.;marks;;The editor;;it rejected and provides a reason for rejection;;;
The editor marks it rejected and provides a reason for rejection.;rejected;reject, decline, turn down;it;rejecter;a reason for rejection;thing rejected;;
The editor marks it rejected and provides a reason for rejection.;provides;cf give;;;;;;
This may include account overdue, content inappropriate or not within scope of contract, or duplicate content (advertising content is already on file and being displayed).;include;include;;;account overdue, content inappropriate or not within scope of contract, or duplicate content (advertising content is already on file and being displayed);theme, thing being included in some group;This;group
This may include account overdue, content inappropriate or not within scope of contract, or duplicate content (advertising content is already on file and being displayed).;duplicate;make a copy;;;content;original;;
This may include account overdue, content inappropriate or not within scope of contract, or duplicate content (advertising content is already on file and being displayed).;(advertising;;content;;;;;
This may include account overdue, content inappropriate or not within scope of contract, or duplicate content (advertising content is already on file and being displayed).;displayed;to present, exhibit;;;;;;
The system notifies the advertiser (via email) of the rejection and the reason.;notifies;tell, alert;The system;notifier, teller;the advertiser (via email) of the rejection and the reason;entity notified, told;;
The system deletes the content.;deletes;remove;The system;entity removing;the content;thing being removed;;
If the story has been deleted by another editor and is not currently viewable, the use case terminates.;deleted;remove;by another editor;entity removing;the story;thing being removed;;
If the story has been deleted by another editor and is not currently viewable, the use case terminates.;terminates;end, stop;;;the use case;Thing ending;;
Editor must be logged in.;logged;to record or to navigate somewhere online;;;Editor;thing recorded, internet/software;;
For story content, the paging process can begin immediately.;begin;start;;;the paging process;Theme(-Creation);;
User selects "Edit Profile".;selects;to make a choice, to pick out;User;selector;"Edit Profile";entity selected;;
System displays categories of profile (personal, preferences, pager information, "page me when" selections).;"page;;(personal;;me;;;
System displays categories of profile (personal, preferences, pager information, "page me when" selections).;);;;;" selections;;;
User selects category.;selects;to make a choice, to pick out;User;selector;category;entity selected;;
If more than one profile exists for a category (for instance, a subscriber may have more than one pager), a list of possible profiles within the category is  presented.;exists;be;;;for a category (for instance;thing existing;;
If more than one profile exists for a category (for instance, a subscriber may have more than one pager), a list of possible profiles within the category is  presented.;have;own, possess;a subscriber;owner;more than one pager);possession;;
If more than one profile exists for a category (for instance, a subscriber may have more than one pager), a list of possible profiles within the category is  presented.;presented;give;;;a list of possible profiles within the category;thing given;;
User selects specific profile within category.;selects;to make a choice, to pick out;User;selector;specific profile within category;entity selected;;
User updates detail, presses "OK".;";;presses;;User updates detail;;;
If information changed includes credit card information, system validates new information with external credit card system.;changed;transform;;;includes credit card information;thing changing;;
If information changed includes credit card information, system validates new information with external credit card system.;includes;include;;;credit card information;theme, thing being included in some group;;
If information changed includes credit card information, system validates new information with external credit card system.;validates;to declare or make legally valid;system;causer;new information with external credit card system;entity validated;;
If information contains pager information, pager PIN format is validated along with email address for sending pages.;contains;hold inside;information;container;pager information;contents;;
If information contains pager information, pager PIN format is validated along with email address for sending pages.;validated;to declare or make legally valid;;;pager PIN format;entity validated;;
If information contains pager information, pager PIN format is validated along with email address for sending pages.;sending;give;;;pages;sent;;
If validation of credit card information fails, user is presented with a message indicating failure, and is presented with their profile for update once again.;fails;not succeed;;;validation of credit card information;thing failing;;
If validation of credit card information fails, user is presented with a message indicating failure, and is presented with their profile for update once again.;presented;give;;;with a message indicating failure;thing given;;
If validation of credit card information fails, user is presented with a message indicating failure, and is presented with their profile for update once again.;indicating;show;a message;indicator;failure;thing indicated;;
If validation of credit card information fails, user is presented with a message indicating failure, and is presented with their profile for update once again.;presented;give;;;with their profile for update;thing given;;
If validation of credit card information fails, user is presented with a message indicating failure, and is presented with their profile for update once again.;update;make more modern;;;;;;
If this is a new subscriber, the use case "Pay Fee with Credit Card" is invoked following step 9 above.;Pay;cf buy and sell;the use case;payer or buyer;";money or attention;;
