"Sentence";"P";"P_DESC";"A0";"A0_DESC";"A1";"A1_DESC";"A2";"A2_DESC";"DomainActions"
"The citizen chooses the type of query";"chooses";"choose, pick";"The citizen";"picker";"the type of query";"thing picked";"";"";""
"In the case of query on specialties grouped by health units, the system retrieves the list of health units stored.";"grouped";"put into some group";"by health units";"agent, entity causing some grouping";"specialties";"theme, thing being included in some group";"";"";""
"In the case of query on specialties grouped by health units, the system retrieves the list of health units stored.";"retrieves";"get back";"the system";"receiver";"the list of health units stored";"thing gotten";"";"";""
"In the case of query on specialties grouped by health units, the system retrieves the list of health units stored.";"stored";"store";"";"";"health units";"commodity";"";"";""
"The system retrieves the details of each health unit such as its description and specialties.";"retrieves";"get back";"The system";"receiver";"the details of each health unit such as its description and specialties";"thing gotten";"";"";""
"The list of health units is presented to the user on their local display.";"presented";"give";"";"";"The list of health units";"thing given";"to the user on their local display";"given to";""
"In the case of a query on health units grouped by specialties, the system retrieves the list of registered specialties.";"grouped";"put into some group";"by specialties";"agent, entity causing some grouping";"health units";"theme, thing being included in some group";"";"";""
"In the case of a query on health units grouped by specialties, the system retrieves the list of registered specialties.";"retrieves";"get back";"the system";"receiver";"the list of registered specialties";"thing gotten";"";"";""
"The system retrieves the details of each specialty such as its unique identifier and name.";"retrieves";"get back";"The system";"receiver";"the details of each specialty such as its unique identifier and name";"thing gotten";"";"";""
"The list of specialties is presented to the user on their local display.";"presented";"give";"";"";"The list of specialties";"thing given";"to the user on their local display";"given to";""
"In the case of a query on diseases, the system retrieves the list of diseases.";"retrieves";"get back";"the system";"receiver";"the list of diseases";"thing gotten";"";"";""
"The system retrieves the details of each disease type such as its unique identifier and name.";"retrieves";"get back";"The system";"receiver";"the details of each disease type such as its unique identifier and name";"thing gotten";"";"";""
"The list of disease is presented to the user on their local display.";"presented";"give";"";"";"The list of disease";"thing given";"to the user on their local display";"given to";""
"The citizen provides the data for the query";"provides";"cf give";"The citizen";"provider";"the data";"thing provided";"for the query";"entity provided for (benefactive)";""
"In the case of a query on specialties grouped by health units, the citizen selects the health unit to be queried.";"grouped";"put into some group";"by health units";"agent, entity causing some grouping";"specialties";"theme, thing being included in some group";"";"";""
"In the case of a query on specialties grouped by health units, the citizen selects the health unit to be queried.";"selects";"to make a choice, to pick out";"the citizen";"selector";"the health unit";"entity selected";"";"";""
"In the case of a query on specialties grouped by health units, the citizen selects the health unit to be queried.";"queried";"ask";"";"";"the health unit";"oracle, answerer";"";"";""
"A unique identifier representing the selected health unit is sent to the server.";"representing";"stand for, correspond";"A unique identifier";"item / entity taking place of other";"the selected health unit";"item / entity being substituted by the other";"";"";""
"A unique identifier representing the selected health unit is sent to the server.";"selected";"to make a choice, to pick out";"";"";"the";"entity selected";"";"";""
"A unique identifier representing the selected health unit is sent to the server.";"sent";"give";"";"";"A unique identifier representing the selected health unit";"sent";"to the server";"sent-to";""
"The system ensures the health unit information is consistent.";"ensures";"promise";"The system";"entity making guarantee";"the health unit information is consistent";"guarantee";"";"";""
"The unique identifier is used by the system to search the repository for the selected health unit.";"used";"Take advantage of, utilise";"by the system";"User";"The unique identifier";"thing used";"to search the repository for the selected health unit";"purpose";""
"The unique identifier is used by the system to search the repository for the selected health unit.";"search";"search, seek";"The unique identifier";"searcher";"the repository for the selected health unit";"Area searched";"";"";""
"The unique identifier is used by the system to search the repository for the selected health unit.";"selected";"to make a choice, to pick out";"";"";"the";"entity selected";"";"";""
"The details of the selected health unit are retrieved including its specialties.";"selected";"to make a choice, to pick out";"";"";"the";"entity selected";"";"";""
"The details of the selected health unit are retrieved including its specialties.";"retrieved";"get back";"";"";"The details of the selected health unit";"thing gotten";"";"";""
"The details of the selected health unit are retrieved including its specialties.";"including";"include";"";"";"its specialties";"theme, thing being included in some group";"The details of the selected health unit";"group";""
"The specialties for the selected health unit are returned to the user.";"selected";"to make a choice, to pick out";"";"";"the";"entity selected";"";"";""
"The specialties for the selected health unit are returned to the user.";"returned";"come back";"";"";"The specialties for the selected health unit";"entity in motion";"";"";""
"In the case of a query on health units grouped by specialties, the citizen selects the specialty to be queried.";"grouped";"put into some group";"by specialties";"agent, entity causing some grouping";"health units";"theme, thing being included in some group";"";"";""
"In the case of a query on health units grouped by specialties, the citizen selects the specialty to be queried.";"selects";"to make a choice, to pick out";"the citizen";"selector";"the specialty to be queried";"entity selected";"";"";""
"In the case of a query on health units grouped by specialties, the citizen selects the specialty to be queried.";"queried";"ask";"";"";"the specialty";"oracle, answerer";"";"";""
"A unique identifier representing the selected specialty is sent to the server.";"representing";"stand for, correspond";"A unique identifier";"item / entity taking place of other";"the selected specialty";"item / entity being substituted by the other";"";"";""
"A unique identifier representing the selected specialty is sent to the server.";"selected";"to make a choice, to pick out";"";"";"the";"entity selected";"";"";""
"A unique identifier representing the selected specialty is sent to the server.";"sent";"give";"";"";"A unique identifier representing the selected specialty";"sent";"to the server";"sent-to";""
"The system ensures the health unit information is consistent.";"ensures";"promise";"The system";"entity making guarantee";"the health unit information is consistent";"guarantee";"";"";""
"The unique identifier is used to retrieve the list of health units which are associated with the selected specialty.";"used";"Take advantage of, utilise";"";"";"The unique identifier";"thing used";"to retrieve the list of health units which are associated with the selected specialty";"purpose";""
"The unique identifier is used to retrieve the list of health units which are associated with the selected specialty.";"retrieve";"get back";"The unique identifier";"receiver";"the list of health units which are associated with the selected specialty";"thing gotten";"";"";""
"The unique identifier is used to retrieve the list of health units which are associated with the selected specialty.";"associated";"include in some group";"";"";"health units";"theme, thing being included in some group";"with the selected specialty";"group, associated-with";""
"The unique identifier is used to retrieve the list of health units which are associated with the selected specialty.";"selected";"to make a choice, to pick out";"";"";"the";"entity selected";"";"";""
"The details of the health units and specialties are retrieved.";"retrieved";"get back";"";"";"The details of the health units and specialties";"thing gotten";"";"";""
