Sentence;P;P_DESC;A0;A0_DESC;A1;A1_DESC;A2;A2_DESC;DomainActions
"The system places a story in the editor’s ""to-do"" workflow queue.";places;location;The system;putter;a story;thing put;"in the editor’s ""to-do"" workflow queue.";where put;IO,Input,Entry
"The system places a story in the editor’s ""to-do"" workflow queue.";"""";;the editor’s;;"to-do"" workflow queue";;;;
If more than one editor is defined, a round-robin approach is used to attempt to balance load.;defined;assign a label or attribute;;;more than one editor;thing defined;;;Noise
If more than one editor is defined, a round-robin approach is used to attempt to balance load.;used;Take advantage of, utilise;;;a round-robin approach;thing used;to attempt to balance load;purpose;Noise
If more than one editor is defined, a round-robin approach is used to attempt to balance load.;attempt;try;a round-robin approach;Agent/Entity Trying;to balance load;thing tried;;;Noise
If more than one editor is defined, a round-robin approach is used to attempt to balance load.;balance;establish a balance;a round-robin approach;balancer, agent;load;thing balanced;;;Process,Calculation
Editors may be marked as unavailable (if, for instance, they are on vacation or sick or out of the office), in which case they will not be included in the round-robin process.;marked;make a mark;;;Editors;mark;;;Data,Write,Update
Editors may be marked as unavailable (if, for instance, they are on vacation or sick or out of the office), in which case they will not be included in the round-robin process.;included;include;;;;;in the round-robin process;group;Process,Calculation
The editor views the story.;views;assign an attribute to;The editor;assigner;the story;thing labelled;;;IO,Output,Display
The editor categorizes the story by selecting from system-provided categories.;categorizes;assign into a category;The editor;assigner;the story;thing assigned;;;Noise
The editor categorizes the story by selecting from system-provided categories.;selecting;to make a choice, to pick out;The editor;selector;;;;;IO,Input,Selection
There may be more than one category assigned to the story.;assigned;give, associate with;;;more than one category;thing assigned;to the story;assigned to;Noise
At least one category must be assigned to the story.;assigned;give, associate with;;;At least one category;thing assigned;to the story;assigned to;Noise
The editor then marks the story as approved.;marks;;The editor;;the story;;;;IO,Input,Entry
The editor then marks the story as approved.;approved;assent to;;;;;;;Noise
The system includes the story in the list of available content for paging initiation.;includes;include;;;the story in the list of available content for paging initiation;theme, thing being included in some group;The system;group;Process,Calculation
The system triggers initiation of paging messages.;triggers;begin;The system;Agent;initiation of paging messages;Theme(-Creation);;;Process,Calculation,Communication,Indoor
The editor views the story.;views;assign an attribute to;The editor;assigner;the story;thing labelled;;;IO,Output,Display
The editor marks the story as rejected and describes the reason for rejection.;marks;;The editor;;the story;;;;IO,Input,Entry
The editor marks the story as rejected and describes the reason for rejection.;rejected;reject, decline, turn down;;;;;;;Noise
The editor marks the story as rejected and describes the reason for rejection.;describes;assign a label or attribute;The editor;describer;the reason for rejection;thing described;;;IO,Input,Entry
The system notifies the originator of the content that the story has been rejected and includes the reason provided by the editor.;notifies;tell, alert;The system;notifier, teller;the originator of the content that the story has been rejected and includes the reason provided by the editor;entity notified, told;;;Process,Communication,Indoor
The system notifies the originator of the content that the story has been rejected and includes the reason provided by the editor.;rejected;reject, decline, turn down;;;the story;thing rejected;;;Noise
The system notifies the originator of the content that the story has been rejected and includes the reason provided by the editor.;includes;include;;;the reason provided by the editor;theme, thing being included in some group;the story;group;Noise
The system notifies the originator of the content that the story has been rejected and includes the reason provided by the editor.;provided;cf give;by the editor;provider;the reason;thing provided;;;IO,Input,Entry
The system deletes the story.;deletes;remove;The system;entity removing;the story;thing being removed;;;Data,Write,Delete
"Editor selects ""Modify Story"".";selects;to make a choice, to pick out;Editor;selector;"""Modify Story""";entity selected;;;IO,Input,Selection
Editor selects specific title.;selects;to make a choice, to pick out;Editor;selector;specific title;entity selected;;;IO,Input,Selection
Editor updates characteristics, either deleting some categories, adding other categories, or both.;deleting;;either;;some categories;;;;Data,Write,Delete
Editor updates characteristics, either deleting some categories, adding other categories, or both.;adding;mathematics;;;other categories;thing being added;;;Data,Write,Create
"Editor selects ""Save"".";selects;to make a choice, to pick out;Editor;selector;"""Save"".";entity selected;;;IO,Input,Selection
System re-posts the story to the list of available content for paging initiation.;re-posts;;System;;the story;;to the list of available content for paging initiation;;Process,Calculation,Communication,Indoor
The system triggers initiation of paging messages.;triggers;begin;The system;Agent;initiation of paging messages;Theme(-Creation);;;Process,Calculation,Communication,Indoor
The editor views the advertising content.;views;assign an attribute to;The editor;assigner;the advertising content;thing labelled;;;IO,Output,Display
The editor marks it approved.;marks;;The editor;;it approved.;;;;Data,Write,Update
The editor marks it approved.;approved;assent to;it;approver;;;;;Noise
The system includes the advertising content in the list of available advertising for display.;includes;include;;;the advertising content in the list of available advertising for display;theme, thing being included in some group;The system;group;Process,Calculation
The system creates a preliminary billing record, using information stored about the advertiser (billing rate indicator, advertiser name and billing address), content identification, date, and total due.;creates;create;The system;creator;a preliminary billing record;thing created;;;Data,Write,Create
The system creates a preliminary billing record, using information stored about the advertiser (billing rate indicator, advertiser name and billing address), content identification, date, and total due.;using;Take advantage of, utilise;The system;User;information;thing used;;;Noise
The system creates a preliminary billing record, using information stored about the advertiser (billing rate indicator, advertiser name and billing address), content identification, date, and total due.;stored;store;;;information;commodity;;;
The system marks the preliminary billing record as approved.;marks;signify;The system;signifier;the preliminary billing record as approved;signified;;;Data,Write,Update
The system marks the preliminary billing record as approved.;approved;assent to;;;;;;;Noise
The editor views the advertising content.;views;assign an attribute to;The editor;assigner;the advertising content;thing labelled;;;IO,Output,Display
The editor marks it rejected and provides a reason for rejection.;marks;;The editor;;it rejected and provides a reason for rejection;;;;Data,Write,Update
The editor marks it rejected and provides a reason for rejection.;rejected;reject, decline, turn down;it;rejecter;a reason for rejection;thing rejected;;;Noise
The editor marks it rejected and provides a reason for rejection.;provides;cf give;;;;;;;IO,Input,Entry
This may include account overdue, content inappropriate or not within scope of contract, or duplicate content (advertising content is already on file and being displayed).;include;include;;;account overdue, content inappropriate or not within scope of contract, or duplicate content (advertising content is already on file and being displayed);theme, thing being included in some group;This;group;Noise
This may include account overdue, content inappropriate or not within scope of contract, or duplicate content (advertising content is already on file and being displayed).;duplicate;make a copy;;;content;original;;;Noise
This may include account overdue, content inappropriate or not within scope of contract, or duplicate content (advertising content is already on file and being displayed).;(advertising;;content;;;;;;Noise
This may include account overdue, content inappropriate or not within scope of contract, or duplicate content (advertising content is already on file and being displayed).;displayed;to present, exhibit;;;;;;;IO,Output,Display
The system notifies the advertiser (via email) of the rejection and the reason.;notifies;tell, alert;The system;notifier, teller;the advertiser (via email) of the rejection and the reason;entity notified, told;;;Process,Communication,Outdoor
The system deletes the content.;deletes;remove;The system;entity removing;the content;thing being removed;;;Data,Write,Delete
