"Machine Learner";"Subset Type";"Measure Name";"Measure Value";"Measure Ideal Value";"Dataset";"Percentage";"Increment";"Kernel";"C";"Gamma"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedAccuracy";"0.9739311835798244";"1.0";"Full";"20";"10";"PolyKernel";"-1.0";"0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedPrecision";"0.9790164642353774";"1.0";"Full";"20";"10";"PolyKernel";"-1.0";"0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedRecall";"0.9876107364690476";"1.0";"Full";"20";"10";"PolyKernel";"-1.0";"0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedFMeasure";"0.9947778727572695";"1.0";"Full";"20";"10";"PolyKernel";"-1.0";"0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedAccuracy";"0.592395123248166";"1.0";"Full";"20";"10";"PolyKernel";"-1.0";"0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedPrecision";"0.6500209181388716";"1.0";"Full";"20";"10";"PolyKernel";"-1.0";"0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedRecall";"0.650651472601456";"1.0";"Full";"20";"10";"PolyKernel";"-1.0";"0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedFMeasure";"0.9025248396665542";"1.0";"Full";"20";"10";"PolyKernel";"-1.0";"0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedAccuracy";"0.9882620872465456";"1.0";"Full";"20";"10";"PolyKernel";"1.0";"0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedPrecision";"0.9908609612922373";"1.0";"Full";"20";"10";"PolyKernel";"1.0";"0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedRecall";"0.996896645051092";"1.0";"Full";"20";"10";"PolyKernel";"1.0";"0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedFMeasure";"0.9988151959850072";"1.0";"Full";"20";"10";"PolyKernel";"1.0";"0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedAccuracy";"0.5811415230747067";"1.0";"Full";"20";"10";"PolyKernel";"1.0";"0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedPrecision";"0.644790501396446";"1.0";"Full";"20";"10";"PolyKernel";"1.0";"0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedRecall";"0.6401481329960329";"1.0";"Full";"20";"10";"PolyKernel";"1.0";"0"
"HMC-LP-SMO-Percentage";"Test";"ExampleBasedFMeasure";"0.8987187936704719";"1.0";"Full";"20";"10";"PolyKernel";"1.0";"0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedAccuracy";"0.9915037540285476";"1.0";"Full";"20";"10";"PolyKernel";"3.0";"0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedPrecision";"0.9938525574505123";"1.0";"Full";"20";"10";"PolyKernel";"3.0";"0"
"HMC-LP-SMO-Percentage";"Train";"ExampleBasedRecall";"0.9971744228288699";"1.0";"Full";"20";"10";"PolyKernel";"3.0";"0"
