"Machine Learner";"Subset Type";"Measure Name";"Measure Value";"Measure Ideal Value";"Dataset";"Kernel";"C";"Gamma"
"HMC-LP-SMO";"Train";"ExampleBasedAccuracy";"0.9311720615750921";"1.0";"Full";"PolyKernel";"-1.0";"0"
"HMC-LP-SMO";"Train";"ExampleBasedPrecision";"0.9514911151508969";"1.0";"Full";"PolyKernel";"-1.0";"0"
"HMC-LP-SMO";"Train";"ExampleBasedRecall";"0.947779055732022";"1.0";"Full";"PolyKernel";"-1.0";"0"
"HMC-LP-SMO";"Train";"ExampleBasedFMeasure";"0.9819056079108817";"1.0";"Full";"PolyKernel";"-1.0";"0"
"HMC-LP-SMO";"Test";"ExampleBasedAccuracy";"0.7650604045259426";"1.0";"Full";"PolyKernel";"-1.0";"0"
"HMC-LP-SMO";"Test";"ExampleBasedPrecision";"0.8248620449295494";"1.0";"Full";"PolyKernel";"-1.0";"0"
"HMC-LP-SMO";"Test";"ExampleBasedRecall";"0.8127022147079181";"1.0";"Full";"PolyKernel";"-1.0";"0"
"HMC-LP-SMO";"Test";"ExampleBasedFMeasure";"0.9315777942965614";"1.0";"Full";"PolyKernel";"-1.0";"0"
"HMC-LP-SMO";"Train";"ExampleBasedAccuracy";"0.9653199159059784";"1.0";"Full";"PolyKernel";"1.0";"0"
"HMC-LP-SMO";"Train";"ExampleBasedPrecision";"0.9795146838344948";"1.0";"Full";"PolyKernel";"1.0";"0"
"HMC-LP-SMO";"Train";"ExampleBasedRecall";"0.9734361849200569";"1.0";"Full";"PolyKernel";"1.0";"0"
"HMC-LP-SMO";"Train";"ExampleBasedFMeasure";"0.9932596929552812";"1.0";"Full";"PolyKernel";"1.0";"0"
"HMC-LP-SMO";"Test";"ExampleBasedAccuracy";"0.752445362250001";"1.0";"Full";"PolyKernel";"1.0";"0"
"HMC-LP-SMO";"Test";"ExampleBasedPrecision";"0.8192924883160215";"1.0";"Full";"PolyKernel";"1.0";"0"
"HMC-LP-SMO";"Test";"ExampleBasedRecall";"0.8060655320789719";"1.0";"Full";"PolyKernel";"1.0";"0"
"HMC-LP-SMO";"Test";"ExampleBasedFMeasure";"0.9249954190567322";"1.0";"Full";"PolyKernel";"1.0";"0"
"HMC-LP-SMO";"Train";"ExampleBasedAccuracy";"0.9761447018252294";"1.0";"Full";"PolyKernel";"3.0";"0"
"HMC-LP-SMO";"Train";"ExampleBasedPrecision";"0.9876873545734972";"1.0";"Full";"PolyKernel";"3.0";"0"
"HMC-LP-SMO";"Train";"ExampleBasedRecall";"0.9815903586002739";"1.0";"Full";"PolyKernel";"3.0";"0"
"HMC-LP-SMO";"Train";"ExampleBasedFMeasure";"0.9960233272772185";"1.0";"Full";"PolyKernel";"3.0";"0"
"HMC-LP-SMO";"Test";"ExampleBasedAccuracy";"0.7480394108957336";"1.0";"Full";"PolyKernel";"3.0";"0"
"HMC-LP-SMO";"Test";"ExampleBasedPrecision";"0.83168652086022";"1.0";"Full";"PolyKernel";"3.0";"0"
"HMC-LP-SMO";"Test";"ExampleBasedRecall";"0.7993334480374505";"1.0";"Full";"PolyKernel";"3.0";"0"
"HMC-LP-SMO";"Test";"ExampleBasedFMeasure";"0.9251530296745646";"1.0";"Full";"PolyKernel";"3.0";"0"
"HMC-LP-SMO";"Train";"ExampleBasedAccuracy";"0.9769608868079175";"1.0";"Full";"PolyKernel";"5.0";"0"
"HMC-LP-SMO";"Train";"ExampleBasedPrecision";"0.9882738863656814";"1.0";"Full";"PolyKernel";"5.0";"0"
"HMC-LP-SMO";"Train";"ExampleBasedRecall";"0.981824733600274";"1.0";"Full";"PolyKernel";"5.0";"0"
