"Machine Learner";"Subset Type";"Measure Name";"Measure Value";"Measure Ideal Value";"Dataset";"Percentage";"Kernel";"C";"Gamma"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedAccuracy";"0.9924528301886792";"1.0";"Full";"20.0";"PolyKernel";"-1.0";"0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedPrecision";"1.0";"1.0";"Full";"20.0";"PolyKernel";"-1.0";"0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedRecall";"0.9924528301886792";"1.0";"Full";"20.0";"PolyKernel";"-1.0";"0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedFMeasure";"0.9952830188679245";"1.0";"Full";"20.0";"PolyKernel";"-1.0";"0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedAccuracy";"0.6688482834994461";"1.0";"Full";"20.0";"PolyKernel";"-1.0";"0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedPrecision";"0.7368217054263565";"1.0";"Full";"20.0";"PolyKernel";"-1.0";"0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedRecall";"0.7020344287949921";"1.0";"Full";"20.0";"PolyKernel";"-1.0";"0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedFMeasure";"0.8847817879794623";"1.0";"Full";"20.0";"PolyKernel";"-1.0";"0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedAccuracy";"1.0";"1.0";"Full";"20.0";"PolyKernel";"1.0";"0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedPrecision";"1.0";"1.0";"Full";"20.0";"PolyKernel";"1.0";"0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedRecall";"1.0";"1.0";"Full";"20.0";"PolyKernel";"1.0";"0"
"HMC-LP-SMO-Trimmed";"Train";"ExampleBasedFMeasure";"1.0";"1.0";"Full";"20.0";"PolyKernel";"1.0";"0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedAccuracy";"0.6685049833887042";"1.0";"Full";"20.0";"PolyKernel";"1.0";"0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedPrecision";"0.731937984496124";"1.0";"Full";"20.0";"PolyKernel";"1.0";"0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedRecall";"0.7148669796557121";"1.0";"Full";"20.0";"PolyKernel";"1.0";"0"
"HMC-LP-SMO-Trimmed";"Test";"ExampleBasedFMeasure";"0.8738886827458254";"1.0";"Full";"20.0";"PolyKernel";"1.0";"0"
